Code;Occurrences;Famille;Signe;Palier ou detail;Nom FR;Nom EN;Rarete;Rang;Origine;Candidats
CraftSpeed_up2;80;Vitesse de travail;+;palier 2;Appliqué;Artisan;dore;3;paldb;
CraftSpeed_up1;68;Vitesse de travail;+;palier 1;Sérieux;Serious;commun;1;elimination;
Nocturnal;65;;;;Nocturne;Insomnia;commun;1;nom identique;
PAL_rude;50;;;;;;;;;
ElementResist_Fire_1_PAL;29;Résistance élémentaire;;Fire;Bronzage Naturel;Suntan Lover;commun;1;bijection élémentaire;
Deffence_up1;29;Défense;+;palier 1;Peau dure;Hard Skin;commun;1;elimination;
PAL_FullStomach_Up_1;28;Satiété;+;palier 1;Frugal;Dainty Eater;commun;1;elimination;
Deffence_up2_2;27;Défense;+;palier 2;Poids Lourd;Heavyweight;dore;2;elimination;
Stamina_Up_1;24;Endurance;+;palier 1;Infatigable;Infinite Stamina;dore;3;paldb;
TrainerDEF_UP_1;24;Bonus au joueur;;DEF;Stratège de Forteresse;Stronghold Strategist;dore;3;paldb;
CoolTimeReduction_Up_1;23;Recharge de compétence;+;palier 1;Sérénité;Serenity;dore;3;paldb;
PAL_ALLAttack_up2;23;Attaque;+;palier 2;Féroce;Ferocious;dore;3;elimination;
PAL_ALLAttack_down1;22;Attaque;−;palier 1;Lâche;Coward;negatif;-1;elimination;
ElementBoost_Fire_1_PAL;22;Attaque élémentaire;;Fire;Pyromane;Pyromaniac;commun;1;bijection élémentaire;
Stamina_Down_1;22;Endurance;−;palier 1;Reclus;Sickly;negatif;-1;elimination;
ElementResist_Dragon_1_PAL;22;Résistance élémentaire;;Dragon;Tueur de Dragons;Dragonkiller;commun;1;bijection élémentaire;
PAL_ALLAttack_up1;21;Attaque;+;palier 1;;;;;;Rentre-Dedans (10%) | Brave (10%) | Trouble-Fête (15%) | Sadique (15%) | Féroce (20%)
CraftSpeed_down2;21;Vitesse de travail;−;palier 2;Négligent;Slacker;negatif;-3;elimination;
TrainerLogging_up1;21;Bonus au joueur;;Logging;Chef d'Abattage;Logging Foreman;dore;3;nom identique;
ElementResist_Normal_1_PAL;21;Résistance élémentaire;;Normal;Anormal;Abnormal;commun;1;bijection élémentaire;
ElementBoost_Earth_1_PAL;20;Attaque élémentaire;;Earth;Force Tellurique;Power of Gaia;commun;1;bijection élémentaire;
PAL_masochist;20;;;;Masochiste;Masochist;commun;1;nom identique;
PAL_FullStomach_Up_2;20;Satiété;+;palier 2;Nutritionniste;Diet Lover;dore;3;elimination;
ElementBoost_Ice_1_PAL;19;Attaque élémentaire;;Ice;Sang Froid;Coldblooded;commun;1;bijection élémentaire;
CoolTimeReduction_Up_2;19;Recharge de compétence;+;palier 2;Impatient;Impatient;commun;1;elimination;
ElementResist_Dark_1_PAL;19;Résistance élémentaire;;Dark;Lumineux;Cheery;commun;1;bijection élémentaire;
ElementBoost_Dark_1_PAL;19;Attaque élémentaire;;Dark;Voile des Ténèbres;Veil of Darkness;commun;1;bijection élémentaire;
SwimSpeed_up_1;19;Nage;+;palier 1;Nage Fluide;Sleek Stroke;commun;1;elimination;
PAL_Sanity_Up_1;18;Moral (SAN);+;palier 1;Mentalement Instable;Unstable;negatif;-1;elimination;
TrainerATK_UP_1;17;Bonus au joueur;;ATK;Chef d'Assaut;Vanguard;dore;3;paldb;
ElementResist_Thunder_1_PAL;17;Résistance élémentaire;;Thunder;Isolant;Insulated Body;commun;1;bijection élémentaire;
PAL_Sanity_Down_2;17;Moral (SAN);−;palier 2;Acharné;Workaholic;dore;3;elimination;
CoolTimeReduction_Down_1;17;Recharge de compétence;−;palier 1;Tranquille;Easygoing;negatif;-1;elimination;
CraftSpeed_down1;16;Vitesse de travail;−;palier 1;Maladroit;Clumsy;negatif;-1;elimination;
PAL_sadist;16;;;;Sadique;Sadist;commun;1;nom identique;
Deffence_up2;16;Défense;+;palier 2;Corps Robuste;Burly Body;dore;3;paldb;
ElementBoost_Aqua_1_PAL;16;Attaque élémentaire;;Aqua;Hydrophile;Hydromaniac;commun;1;bijection élémentaire;
NonKilling;16;;;;Pitié;Mercy Hit;negatif;-1;nom identique;
ElementResist_Aqua_1_PAL;15;Résistance élémentaire;;Aqua;Imperméabilité;Waterproof;commun;1;bijection élémentaire;
ElementResist_Ice_1_PAL;15;Résistance élémentaire;;Ice;Sang Chaud;Heated Body;commun;1;bijection élémentaire;
PAL_FullStomach_Down_2;15;Satiété;−;palier 2;Estomac sans Fond;Bottomless Stomach;negatif;-2;elimination;
Stamina_Up_2;14;Endurance;+;palier 2;Force de la Nature;Fit as a Fiddle;commun;1;elimination;
ElementResist_Leaf_1_PAL;14;Résistance élémentaire;;Leaf;Protection Végétale;Botanical Barrier;commun;1;bijection élémentaire;
PAL_ALLAttack_down2;14;Attaque;−;palier 2;Pacifiste;Pacifist;negatif;-3;elimination;
TrainerWorkSpeed_UP_1;14;Bonus au joueur;;WorkSpeed;Motivateur;Motivational Leader;dore;3;paldb;
PAL_Sanity_Up_2;14;Moral (SAN);+;palier 2;Soif de Destruction;Destructive;negatif;-2;elimination;
Deffence_down1;14;Défense;−;palier 1;Vulnérable aux Coups;Downtrodden;negatif;-1;elimination;
MoveSpeed_up_1;13;Déplacement;+;palier 1;Vif;Nimble;commun;1;elimination;
